gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
M,2002,47,2576410,9330,9548,2140507
M,2003,47,2639536,9625,9839,2117276
M,2004,47,2695413,9639,9905,2199700
M,2005,47,2675147,9194,9752,2228342
M,2006,47,2709062,9344,9752,2223663
M,2007,47,2742852,9117,9494,2326976
M,2008,47,2724486,9075,9564,2271170
M,2009,47,2723929,8863,9287,2251625
M,2010,47,2710595,8721,8979,2238248
M,2011,47,2685480,8342,8896,2231566
M,2012,47,2569059,7596,8320,2190557
M,2013,47,2493287,7473,7960,2059088
M,2014,47,2465832,7178,7625,2019306
M,2001,48,2440732,9626,9814,1972847
M,2002,48,2531244,9771,10142,2035358
M,2003,48,2567080,10150,10496,2131053
M,2004,48,2629911,9949,10254,2107717
M,2005,48,2685774,10224,10491,2188567
M,2006,48,2665953,9993,10668,2216534
M,2007,48,2699718,9843,10187,2210559
M,2008,48,2733735,9820,10237,2312020
M,2009,48,2715411,9697,10055,2254796
M,2010,48,2715066,9334,9727,2237734
M,2011,48,2701874,9148,9657,2229381
M,2012,48,2677138,8867,9404,2224991
M,2013,48,2561463,8296,9052,2182629
M,2014,48,2485814,7870,8591,2058243
M,2001,49,2403561,10069,10193,1912415
M,2002,49,2431106,10339,10439,1969476
M,2003,49,2521473,10800,10930,2032378
M,2004,49,2556930,10487,10812,2130419
M,2005,49,2619962,10915,11326,2108325
M,2006,49,2675550,11226,11295,2191446
M,2007,49,2655960,10544,11103,2220829
M,2008,49,2689875,10696,11112,2216356
M,2009,49,2723915,10517,10964,2319302
M,2010,49,2705714,10473,10927,2264671
M,2011,49,2705732,10173,10615,2226118
M,2012,49,2692726,9915,10236,2221281
M,2013,49,2668271,9671,10199,2215891
M,2014,49,2553167,9093,9826,2179993
M,2001,50,2308155,10412,10480,1858963
